value_id,value_name
exchange-func-agriculture-0,Unknown or n.a.
exchange-func-agriculture-1,Not integrated
exchange-func-agriculture-2,Planned
exchange-func-agriculture-3,Under development
exchange-func-agriculture-4,Partially integrated
exchange-func-agriculture-5,Fully Integrated
exchange-func-business-0,Unknown or n.a.
exchange-func-business-1,Not integrated
exchange-func-business-2,Planned
exchange-func-business-3,Under development
exchange-func-business-4,Partially integrated
exchange-func-business-5,Fully Integrated
exchange-func-crvs-0,Unknown or n.a.
exchange-func-crvs-1,Not integrated
exchange-func-crvs-2,Planned
exchange-func-crvs-3,Under development
exchange-func-crvs-4,Partially integrated
exchange-func-crvs-5,Fully Integrated
exchange-func-digitalid-0,Unknown or n.a.
exchange-func-digitalid-1,Not integrated
exchange-func-digitalid-2,Planned
exchange-func-digitalid-3,Under development
exchange-func-digitalid-4,Partially integrated
exchange-func-digitalid-5,Fully Integrated
exchange-func-education-0,Unknown or n.a.
exchange-func-education-1,Not integrated
exchange-func-education-2,Planned
exchange-func-education-3,Under development
exchange-func-education-4,Partially integrated
exchange-func-education-5,Fully Integrated
exchange-func-electoral-0,Unknown or n.a.
exchange-func-electoral-1,Not integrated
exchange-func-electoral-2,Planned
exchange-func-electoral-3,Under development
exchange-func-electoral-4,Partially integrated
exchange-func-electoral-5,Fully Integrated
exchange-func-employment-0,Unknown or n.a.
exchange-func-employment-1,Not integrated
exchange-func-employment-2,Planned
exchange-func-employment-3,Under development
exchange-func-employment-4,Partially integrated
exchange-func-employment-5,Fully Integrated
exchange-func-health-0,Unknown or n.a.
exchange-func-health-1,Not integrated
exchange-func-health-2,Planned
exchange-func-health-3,Under development
exchange-func-health-4,Partially integrated
exchange-func-health-5,Fully Integrated
exchange-func-justice-0,Unknown or n.a.
exchange-func-justice-1,Not integrated
exchange-func-justice-2,Planned
exchange-func-justice-3,Under development
exchange-func-justice-4,Partially integrated
exchange-func-justice-5,Fully Integrated
exchange-func-licensing-0,Unknown or n.a.
exchange-func-licensing-1,Not integrated
exchange-func-licensing-2,Planned
exchange-func-licensing-3,Under development
exchange-func-licensing-4,Partially integrated
exchange-func-licensing-5,Fully Integrated
exchange-func-passport-0,Unknown or n.a.
exchange-func-passport-1,Not integrated
exchange-func-passport-2,Planned
exchange-func-passport-3,Under development
exchange-func-passport-4,Partially integrated
exchange-func-passport-5,Fully Integrated
exchange-func-payments-0,Unknown or n.a.
exchange-func-payments-1,Not integrated
exchange-func-payments-2,Planned
exchange-func-payments-3,Under development
exchange-func-payments-4,Partially integrated
exchange-func-payments-5,Fully Integrated
exchange-func-planning-0,Unknown or n.a.
exchange-func-planning-1,Not integrated
exchange-func-planning-2,Planned
exchange-func-planning-3,Under development
exchange-func-planning-4,Partially integrated
exchange-func-planning-5,Fully Integrated
exchange-func-revenue-0,Unknown or n.a.
exchange-func-revenue-1,Not integrated
exchange-func-revenue-2,Planned
exchange-func-revenue-3,Under development
exchange-func-revenue-4,Partially integrated
exchange-func-revenue-5,Fully Integrated
exchange-func-socialprotection-0,Unknown or n.a.
