Chapter,Section,Variable Name,Definition,Format,Other Metadata,Data Collection Guidelines,Variable,Sort
Data Exchange,Functionality,Agriculture System Integration,"Integration of farmer registries, agricultural input vouchers, land registrations, extension services data",0=Unknown or n.a.; 1=Not integrated; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully Integrated,Provide details in Comments,"Search agricultural digitization strategies, farmer support program documentation, land administration systems, agri-tech initiatives",exchange-func-agriculture,31
Data Exchange,Functionality,Business Registration & Licensing Integration,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",0=Unknown or n.a.; 1=Not integrated; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully Integrated,Provide details in Comments,"Search companies registry digitization, business environment reform programs, e-licensing platforms, Doing Business reform initiatives",exchange-func-business,35
Data Exchange,Functionality,Civil Registration & Vital Statistics Integration,"Integration of CRVS data (births, deaths, marriages) into data exchange for real-time verification and service eligibility",0=Unknown or n.a.; 1=Not integrated; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully Integrated,Provide details in Comments,"Review civil registration modernization strategies, Home Affairs digital transformation plans, vital statistics system assessments, service integration reports",exchange-func-crvs,22
Data Exchange,Functionality,Digital ID Integration,Extent to which the national digital identity system is integrated with the data exchange for identity verification and authentication,0=Unknown or n.a.; 1=Not integrated; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully Integrated,Provide details in Comments,"Search digital identity strategies, authentication frameworks, Digital ID system documentation, service delivery platforms, identity verification protocols",exchange-func-digitalid,21
Data Exchange,Functionality,Education System Integration,"Integration of learner records, academic credentials, enrollment data, and scholarship/bursary systems",0=Unknown or n.a.; 1=Not integrated; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully Integrated,Provide details in Comments,"Search education management information systems, digital education strategies, qualification verification frameworks, student aid digitization programs",exchange-func-education,29
Data Exchange,Functionality,Electoral Register Integration,"Integration of voter registration data for identity verification, demographic analysis, and service delivery targeting",0=Unknown or n.a.; 1=Not integrated; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully Integrated,Provide details in Comments,"Search electoral commission strategic plans, voter registration system documentation, election management body reports, data sharing agreements",exchange-func-electoral,25
Data Exchange,Functionality,Employment Services Integration,"Integration of job seeker registries, unemployment insurance, public employment programs, labor market information",0=Unknown or n.a.; 1=Not integrated; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully Integrated,Provide details in Comments,"Review labor department digital strategies, employment services modernization, unemployment insurance system documentation, youth employment platforms",exchange-func-employment,34
Data Exchange,Functionality,Health System Integration,"Integration of health records, patient registration, immunization data, and health insurance into data exchange",0=Unknown or n.a.; 1=Not integrated; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully Integrated,Provide details in Comments,"Review health sector digital transformation strategies, eHealth frameworks, health information exchange initiatives, universal health coverage digitization",exchange-func-health,28
Data Exchange,Functionality,Justice System Integration,"Integration of court records, case management systems, correctional services data, legal aid information",0=Unknown or n.a.; 1=Not integrated; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully Integrated,Provide details in Comments,"Review justice sector ICT strategies, court digitization programs, case management system modernization, legal information systems",exchange-func-justice,32
Data Exchange,Functionality,Driver Licensing Integration,Integration of driver's license registration and traffic offence data,0=Unknown or n.a.; 1=Not integrated; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully Integrated,Provide details in Comments,"Search transport department digital strategies, licensing authority modernization plans, road traffic management systems",exchange-func-licensing,27
