priority,chapter,country,rows,file
High,ICT Infrastructure,AGO,2,0_High__ICT-Infrastructure__AGO.csv
High,ICT Infrastructure,BDI,1,0_High__ICT-Infrastructure__BDI.csv
High,ICT Infrastructure,BEN,1,0_High__ICT-Infrastructure__BEN.csv
High,ICT Infrastructure,BWA,1,0_High__ICT-Infrastructure__BWA.csv
High,ICT Infrastructure,CAF,10,0_High__ICT-Infrastructure__CAF.csv
High,ICT Infrastructure,COD,4,0_High__ICT-Infrastructure__COD.csv
High,ICT Infrastructure,COG,3,0_High__ICT-Infrastructure__COG.csv
High,ICT Infrastructure,COM,6,0_High__ICT-Infrastructure__COM.csv
High,ICT Infrastructure,ERI,6,0_High__ICT-Infrastructure__ERI.csv
High,ICT Infrastructure,GAB,8,0_High__ICT-Infrastructure__GAB.csv
High,ICT Infrastructure,GHA,1,0_High__ICT-Infrastructure__GHA.csv
High,ICT Infrastructure,GIN,2,0_High__ICT-Infrastructure__GIN.csv
High,ICT Infrastructure,GMB,12,0_High__ICT-Infrastructure__GMB.csv
High,ICT Infrastructure,GNB,5,0_High__ICT-Infrastructure__GNB.csv
High,ICT Infrastructure,GNQ,3,0_High__ICT-Infrastructure__GNQ.csv
High,ICT Infrastructure,LBR,2,0_High__ICT-Infrastructure__LBR.csv
High,ICT Infrastructure,LBY,3,0_High__ICT-Infrastructure__LBY.csv
High,ICT Infrastructure,LSO,4,0_High__ICT-Infrastructure__LSO.csv
High,ICT Infrastructure,MDG,1,0_High__ICT-Infrastructure__MDG.csv
High,ICT Infrastructure,MRT,2,0_High__ICT-Infrastructure__MRT.csv
High,ICT Infrastructure,MUS,10,0_High__ICT-Infrastructure__MUS.csv
High,ICT Infrastructure,MWI,10,0_High__ICT-Infrastructure__MWI.csv
High,ICT Infrastructure,NAM,1,0_High__ICT-Infrastructure__NAM.csv
High,ICT Infrastructure,NER,6,0_High__ICT-Infrastructure__NER.csv
High,ICT Infrastructure,RWA,1,0_High__ICT-Infrastructure__RWA.csv
High,ICT Infrastructure,SDN,1,0_High__ICT-Infrastructure__SDN.csv
High,ICT Infrastructure,SSD,10,0_High__ICT-Infrastructure__SSD.csv
High,ICT Infrastructure,STP,4,0_High__ICT-Infrastructure__STP.csv
High,ICT Infrastructure,TCD,1,0_High__ICT-Infrastructure__TCD.csv
High,ICT Infrastructure,TGO,4,0_High__ICT-Infrastructure__TGO.csv
High,ICT Infrastructure,TUN,1,0_High__ICT-Infrastructure__TUN.csv
High,ICT Infrastructure,ZWE,3,0_High__ICT-Infrastructure__ZWE.csv
High,Registries,BDI,2,0_High__Registries__BDI.csv
High,Registries,BWA,7,0_High__Registries__BWA.csv
High,Registries,CAF,4,0_High__Registries__CAF.csv
High,Registries,CIV,4,0_High__Registries__CIV.csv
High,Registries,CMR,7,0_High__Registries__CMR.csv
High,Registries,COD,3,0_High__Registries__COD.csv
High,Registries,COM,4,0_High__Registries__COM.csv
High,Registries,CPV,20,0_High__Registries__CPV.csv
High,Registries,DZA,2,0_High__Registries__DZA.csv
High,Registries,ERI,15,0_High__Registries__ERI.csv
High,Registries,GMB,2,0_High__Registries__GMB.csv
High,Registries,GNB,7,0_High__Registries__GNB.csv
High,Registries,GNQ,5,0_High__Registries__GNQ.csv
High,Registries,LBR,22,0_High__Registries__LBR.csv
High,Registries,MAR,1,0_High__Registries__MAR.csv
High,Registries,MDG,3,0_High__Registries__MDG.csv
High,Registries,MLI,2,0_High__Registries__MLI.csv
High,Registries,MOZ,5,0_High__Registries__MOZ.csv
High,Registries,MRT,27,0_High__Registries__MRT.csv
High,Registries,MUS,20,0_High__Registries__MUS.csv
High,Registries,NAM,1,0_High__Registries__NAM.csv
High,Registries,NER,14,0_High__Registries__NER.csv
High,Registries,RWA,20,0_High__Registries__RWA.csv
High,Registries,SLE,7,0_High__Registries__SLE.csv
High,Registries,SOM,1,0_High__Registries__SOM.csv
High,Registries,SSD,3,0_High__Registries__SSD.csv
High,Registries,STP,12,0_High__Registries__STP.csv
High,Registries,SYC,2,0_High__Registries__SYC.csv
High,Registries,TUN,4,0_High__Registries__TUN.csv
High,Registries,TZA,30,0_High__Registries__TZA.csv
High,Registries,ZAF,28,0_High__Registries__ZAF.csv
High,Registries,ZWE,14,0_High__Registries__ZWE.csv
Low,Data Exchange,BDI,12,2_Low__Data-Exchange__BDI.csv
Low,Data Exchange,BEN,2,2_Low__Data-Exchange__BEN.csv
Low,Data Exchange,BFA,3,2_Low__Data-Exchange__BFA.csv
Low,Data Exchange,BWA,1,2_Low__Data-Exchange__BWA.csv
Low,Data Exchange,CAF,8,2_Low__Data-Exchange__CAF.csv
Low,Data Exchange,CIV,6,2_Low__Data-Exchange__CIV.csv
Low,Data Exchange,CMR,2,2_Low__Data-Exchange__CMR.csv
Low,Data Exchange,COD,2,2_Low__Data-Exchange__COD.csv
Low,Data Exchange,COG,10,2_Low__Data-Exchange__COG.csv
Low,Data Exchange,COM,9,2_Low__Data-Exchange__COM.csv
Low,Data Exchange,CPV,1,2_Low__Data-Exchange__CPV.csv
Low,Data Exchange,DJI,5,2_Low__Data-Exchange__DJI.csv
Low,Data Exchange,DZA,3,2_Low__Data-Exchange__DZA.csv
Low,Data Exchange,EGY,2,2_Low__Data-Exchange__EGY.csv
Low,Data Exchange,ERI,14,2_Low__Data-Exchange__ERI.csv
Low,Data Exchange,ETH,4,2_Low__Data-Exchange__ETH.csv
Low,Data Exchange,GAB,9,2_Low__Data-Exchange__GAB.csv
Low,Data Exchange,GHA,5,2_Low__Data-Exchange__GHA.csv
Low,Data Exchange,GIN,10,2_Low__Data-Exchange__GIN.csv
Low,Data Exchange,GMB,9,2_Low__Data-Exchange__GMB.csv
Low,Data Exchange,GNB,11,2_Low__Data-Exchange__GNB.csv
Low,Data Exchange,GNQ,13,2_Low__Data-Exchange__GNQ.csv
Low,Data Exchange,KEN,1,2_Low__Data-Exchange__KEN.csv
Low,Data Exchange,LBR,9,2_Low__Data-Exchange__LBR.csv
Low,Data Exchange,LBY,15,2_Low__Data-Exchange__LBY.csv
Low,Data Exchange,LSO,7,2_Low__Data-Exchange__LSO.csv
Low,Data Exchange,MAR,2,2_Low__Data-Exchange__MAR.csv
Low,Data Exchange,MDG,9,2_Low__Data-Exchange__MDG.csv
Low,Data Exchange,MLI,11,2_Low__Data-Exchange__MLI.csv
Low,Data Exchange,MOZ,8,2_Low__Data-Exchange__MOZ.csv
Low,Data Exchange,MRT,8,2_Low__Data-Exchange__MRT.csv
Low,Data Exchange,MUS,3,2_Low__Data-Exchange__MUS.csv
Low,Data Exchange,MWI,1,2_Low__Data-Exchange__MWI.csv
Low,Data Exchange,NAM,5,2_Low__Data-Exchange__NAM.csv
Low,Data Exchange,NER,13,2_Low__Data-Exchange__NER.csv
Low,Data Exchange,NGA,2,2_Low__Data-Exchange__NGA.csv
Low,Data Exchange,RWA,1,2_Low__Data-Exchange__RWA.csv
Low,Data Exchange,SDN,15,2_Low__Data-Exchange__SDN.csv
Low,Data Exchange,SEN,3,2_Low__Data-Exchange__SEN.csv
Low,Data Exchange,SLE,5,2_Low__Data-Exchange__SLE.csv
