Section,Variable Name,Variable Id,Definition,Format,Other Metadata,Data Collection Guidelines
Population,Status,reg-pop-exists,Does the government maintain a digital population register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially deployed; 5=Fully deployed nationwide,"A population register is a continuously updated database of all persons resident in a country, maintained by a government agency. Distinguished from a census (periodic) and CRVS (event-based). May be called National Population Register, Civil Register of Persons, or Resident Register.","Search: ""[Country] population register"", ""[Country] national population register digital"", ""[Country] civil register of persons"". Check national statistics office, Ministry of Interior, e-government portals. Key sources: World Bank ID4D dataset, UN Statistics Division CRVS reports, country e-government strategies."
Population,Inclusivity,reg-pop-inclusive,Are all non-citizens allowed to be included in the register?,0=Unknown or n.a.; 1=None; 2=Permanent residents only; 3=Some refugees and IDPs ; 4=All included,"Non-citizens include permanent residents, refugees (UNHCR-recognised), IDPs, asylum seekers, stateless persons, and temporary residents. Assess the broadest category formally eligible for inclusion, not just those actually registered.","Search: ""[Country] population register refugees"", ""[Country] population register non-citizens"", ""[Country] refugee registration system"". Check UNHCR country pages, national refugee legislation, population register eligibility criteria. Note distinction between de jure eligibility and de facto practice."
Population,Uptake,reg-pop-uptake,What proportion of the population does the register cover?,0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,"Proportion of total resident population (citizens + eligible non-citizens) registered. Use most recent official statistics. If only citizen coverage is reported, note this in Comments and assess based on citizen coverage.","Search: ""[Country] population register coverage"", ""[Country] population register statistics"". Check national statistics office, Ministry of Interior reports, World Bank ID4D data. If no population register exists (Status=1), set to 0."
Population,National Id integration,reg-pop-id,Is the register integrated with the national ID system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,"Integration means systematic linkage via unique identifiers (e.g. national ID number used as key in population register). Assess technical integration (API/database link), not just policy intent. ""Partially integrated"" means linkage exists but is not universal or bidirectional.","Search: ""[Country] population register national ID integration"", ""[Country] population register linked national identity"". Check e-government interoperability documents, national ID authority reports, digital transformation strategies."
Population,Civil registration integration,reg-pop-crvs,Is the population register integrated with the civil register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,"Integration means birth/death events in the civil register automatically update the population register (additions/removals). Assess whether vital events flow in real-time or batch, and whether coverage is universal or partial.","Search: ""[Country] population register CRVS integration"", ""[Country] birth registration population register link"". Check CRVS improvement plans, UNICEF CRVS country profiles, e-government interoperability documents."
Population,Data exchange integration,reg-pop-dpi,Is the register integrated with the government's national data exchange system?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially integrated; 5=Fully integrated nationwide,"Data exchange system refers to a government interoperability platform or data-sharing infrastructure (e.g. X-Road, GovStack, national service bus, API gateway). Assess whether the population register is connected to such a platform, not just whether data is shared ad hoc.","Search: ""[Country] population register interoperability"", ""[Country] data exchange platform"", ""[Country] government service bus"". Check e-government strategies, digital transformation plans, GovTech assessments. Look for X-Road, GovStack, or similar platforms."
Civil,Status,reg-cr-exists,Does the government maintain a digital civil register?,0=Unknown or n.a.; 1=No; 2=Planned; 3=Under development; 4=Partially deployed; 5=Fully deployed nationwide,"A civil register (CRVS) records vital events: births, deaths, marriages, divorces. Distinguished from a population register (stock) — the civil register records flows/events. May be managed by a dedicated CRVS authority, Ministry of Interior/Justice, or local authorities.","Search: ""[Country] CRVS digital"", ""[Country] civil registration system"", ""[Country] birth registration digital"". Key sources: UNICEF CRVS country profiles, UN-ECA CRVS Decade reports, World Bank ID4D, APAI-CRVS reports, country CRVS improvement plans."
Civil,Scope,reg-cr-scope,"Does the register cover births, deaths and marriages?",0=Unknown or n.a.; 1=None; 2=Some; 3=All,"Assess which vital event types are captured digitally. ""Some"" means at least one but not all of births, deaths, and marriages are digitally registered. ""All"" means all three event types are captured in the digital system.","Search: ""[Country] CRVS births deaths marriages"", ""[Country] vital events registration"". Check UNICEF CRVS profiles, national CRVS legislation, civil registration authority websites for which event types are digitally captured."
Civil,Inclusivity,reg-cr-inclusive,Are all non-citizens allowed to be included in the register?,0=Unknown or n.a.; 1=None; 2=Permanent residents only; 3=Some refugees and IDPs ; 4=All included,"Same criteria as population register inclusivity: assess whether non-citizens (permanent residents, refugees, IDPs, asylum seekers) can register vital events (births, deaths, marriages) in the system.","Search: ""[Country] birth registration refugees"", ""[Country] civil registration non-citizens"". Check UNHCR country pages, UNICEF CRVS profiles, national CRVS legislation for non-citizen eligibility."
Civil,Uptake,reg-cr-uptake,What proportion of the population does the register cover?,0=Unknown or n.a.; 1=<20%; 2=20-49%; 3=50-69%; 4=70-89%; 5=>89%,"Use birth registration completeness as the primary proxy (most commonly reported). WHO/UNICEF/World Bank publish birth registration data. If only birth registration rates are available, use those and note in Comments.","Search: ""[Country] birth registration rate"", ""[Country] CRVS completeness"". Key sources: UNICEF/WHO birth registration data, UN Statistics Division, World Bank World Development Indicators (SP.REG.BRTH.ZS), DHS/MICS surveys. Use birth registration completeness as primary proxy."
