Section,Variable Name,Variable Id,Definition,Format,Other Metadata,Data Collection Guidelines
Census,Population & Housing census (Availability score over 20 years),stats-census-population,"Population censuses collect data on the size, distribution and composition of population and information on a broad range of social and economic characteristics of the population.",0=Unknown or n.a.; 1=No census done within last 20 years; 2=Census done within last 20 years; 3=Census done within last 10 years,Original scoring: 1 Point. Population census done within last 10 years. 0.5 Points. Population census done within last 20 years. 0 Points. Otherwise,From World Bank Statistical Performance Indicators. Series SPI.D4.1.1.POPU
Census,Agriculture census (Availability score over 20 years),stats-census-agriculture,"Agriculture censuses collect information on agricultural activities, such as size of holding, land tenure, land use, employment and production, and provide basic structural data and sampling frames for agricultural surveys.",0=Unknown or n.a.; 1=No census done within last 20 years; 2=Census done within last 20 years; 3=Census done within last 10 years,Original scoring: 1 Point. census done within last 10 years. 0.5 Points. census done within last 20 years. 0 Points. Otherwise,From World Bank Statistical Performance Indicators. Series SPI.D4.1.2.AGRI
Census,Business/establishment census (Availability score over 20 years),stats-census-business,"Business/establishment censuses provide valuable information on all economic activities, number of employed and size of establishments in the economy.",0=Unknown or n.a.; 1=No census done within last 20 years; 2=Census done within last 20 years; 3=Census done within last 10 years,Original scoring: 1 Point. census done within last 10 years. 0.5 Points. census done within last 20 years. 0 Points. Otherwise,From World Bank Statistical Performance Indicators. Series SPI.D4.1.3.BIZZ
Survey,"Household Survey on income, etc  (Availability score over 10 years)",stats-survey-household,"These surveys collect data on household income (including income in kind), consumption and expenditure.",0=Unknown or n.a.; 1=No survey done within last 10 years; 2=1 survey done within past 10 years; 3=2 surveys done within past 10 years; 4=3 or more surveys done within last 10 years,Original scoring: 1 Point. 3 or more surveys done within past 10 years. 0.6 Points. 2 surveys done within past 10 years. 0.3 Points. 1 survey done within past 10 years. 0 Points. None within past 10 years,From World Bank Statistical Performance Indicators. Series SPI.D4.1.4.HOUS
Survey,Agriculture survey (Availability score over 10 years),stats-survey-agriculture,Agricultural surveys refer to surveys of agricultural holdings based on the sampling frames established by the agricultural census.,0=Unknown or n.a.; 1=No survey done within last 10 years; 2=1 survey done within past 10 years; 3=2 surveys done within past 10 years; 4=3 or more surveys done within last 10 years,Original scoring: 1 Point. 3 or more surveys done within past 10 years. 0.6 Points. 2 surveys done within past 10 years. 0.3 Points. 1 survey done within past 10 years. 0 Points. None within past 10 years,From World Bank Statistical Performance Indicators. Series SPI.D4.1.5.AGSVY
Survey,Labor Force Survey (Availability score over 10 years),stats-survey-labour,"Labor force survey is a standard household-based survey of work-related statistics at the national and sub-national employment or unemployment levels, rates or trends.",0=Unknown or n.a.; 1=No survey done within last 10 years; 2=1 survey done within past 10 years; 3=2 surveys done within past 10 years; 4=3 or more surveys done within last 10 years,Original scoring: 1 Point. 3 or more surveys done within past 10 years. 0.6 Points. 2 surveys done within past 10 years. 0.3 Points. 1 survey done within past 10 years. 0 Points. None within past 10 years,From World Bank Statistical Performance Indicators. Series SPI.D4.1.6.LABR
Survey,Health/Demographic survey (Availability score over 10 years),stats-survey-health,"Health surveys collect information on various aspects of health of populations, such as health expenditure, access, utilization, and outcomes.",0=Unknown or n.a.; 1=No survey done within last 10 years; 2=1 survey done within past 10 years; 3=2 surveys done within past 10 years; 4=3 or more surveys done within last 10 years,Original scoring: 1 Point. 3 or more surveys done within past 10 years. 0.6 Points. 2 surveys done within past 10 years. 0.3 Points. 1 survey done within past 10 years. 0 Points. None within past 10 years,From World Bank Statistical Performance Indicators. Series SPI.D4.1.7.HLTH
Survey,Business/establishment survey (Availability score over 10 years),stats-survey-business,"The business/establishment survey provides information on employment, hours, and earnings of employees from a sample of business establishments including private and public, entities that are classified based on an establishment's principal activity from the business or establishment census.",0=Unknown or n.a.; 1=No survey done within last 10 years; 2=1 survey done within past 10 years; 3=2 surveys done within past 10 years; 4=3 or more surveys done within last 10 years,Original scoring: 1 Point. 3 or more surveys done within past 10 years. 0.6 Points. 2 surveys done within past 10 years. 0.3 Points. 1 survey done within past 10 years. 0 Points. None within past 10 years,From World Bank Statistical Performance Indicators. Series SPI.D4.1.8.BZSVY
Score,Pillar 1  - Data Use - Score,stats-score-use,Indicators that capture demand side of statistical system,0=Unknown or n.a.; 1=<20%; 2=20-49%;3=50-69%; 4=70-89%; 5=>89%,Original scoring: Weighted average of statistical performance indicators related to data services.  Scores range from 0-100 with 100 representing the best score.,From World Bank Statistical Performance Indicators. Series SPI.INDEX.PIL1
Score,Pillar 2 - Data Services - Score,stats-score-service,"Information on data releases, online access, and other data services",0=Unknown or n.a.; 1=<20%; 2=20-49%;3=50-69%; 4=70-89%; 5=>89%,Original scoring: Weighted average of statistical performance indicators related to data services.  Scores range from 0-100 with 100 representing the best score.,From World Bank Statistical Performance Indicators. Series SPI.INDEX.PIL2
