Section,Variable Name,Variable ID,Definition,Format,Data Collection Guidance
Linkage,Individual_ID,IND_001,Unique identifier for the individual,Text,Auto-generated. Format: [ISO country code]I[3-digit sequence]. The 'I' distinguishes individuals from institutions. Start at 001 for each country. Use country where individual is primarily based/active.
Linkage,Institution_ID,IND_002,Links individual to their primary institution (if applicable),Text (Foreign Key - Optional),"OPTIONAL. If individual works for mapped institution, use exact Institution_ID (e.g., ZA001). If independent (journalist, consultant, retired), use 'Independent'. If works for non-mapped institution (e.g., minor university, African Union, foreign org), use 'Non-Mapped Institution' and specify in Institution_Name_If_Not_Mapped."
Linkage,Institution_Name_If_Not_Mapped,IND_003,Name of institution if individual is affiliated but institution not in main dataset,Text,"Fill ONLY if Institution_ID = 'Non-Mapped Institution'. Examples: 'African Union Commission', 'University of Lagos', 'Independent Consultant', 'Freelance Journalist'. Leave blank if Institution_ID links to mapped institution or if truly independent."
Basic Information,Individual_Name,IND_004,Full name of the individual,Text,"Search leadership pages, LinkedIn, news articles, conference speakers, publications. Use format 'FirstName LastName'. Add [Partial] if only surname known: 'Unknown [Partial] Surname'. Verify spelling across multiple sources."
Basic Information,Job_Title,IND_005,Current official job title/position or professional designation,Text,"For institutional roles: use exact title from website/LinkedIn (e.g., 'Chief Executive Officer', 'Director of Digital Identity'). For independent: use professional descriptor (e.g., 'Independent Digital Policy Consultant', 'Investigative Journalist specializing in tech policy', 'Emeritus Professor of Computer Science', 'Senior Research Fellow'). Verify current position."
Basic Information,Role_Category,IND_006,Standardized role category for analysis,Categorical: Senior Leadership C-suite/Director | Technical Lead | Policy/Strategy Lead | Operational Manager | Program Manager | Advocacy/Communications Lead | Research Lead | Legal/Compliance Lead | Independent Expert/Consultant | Journalist/Media | Other,"Categorize based on title and primary role. Senior Leadership = CEO, Executive Director, Minister, Director-General, VP; Technical Lead = CTO, Head of Engineering, Technical Director; Policy/Strategy = Chief Policy Officer, Head of Strategy; Independent Expert/Consultant = consultants, advisors not employed by mapped institution; Journalist/Media = journalists, editors, media analysts; Research Lead = Research Director, Principal Investigator, Professor."
Tenure,Tenure_Start,IND_007,Start date in current position or independent practice,Date (Partial),"Search LinkedIn, institution announcements, news archives. For independent consultants: when they started independent practice. For journalists: when they began covering DPI/digital policy. Use YYYY-MM if exact month known, YYYY if only year. Add ~ prefix for approximate dates (~2023). Use 'Unknown' if cannot be determined."
Tenure,Years_In_Role,IND_009,Approximate years in current role or practice area,Numeric,Calculate from Tenure_Start to present (or Tenure_End if departed). For independent experts: years focusing on DPI domain. Round to 1 decimal place. Use 'Unknown' if tenure dates unavailable.
DPI Experience,DPI_Focus_Areas,IND_010,Individual's specific DPI domains of work/expertise,Categorical: (Multiple)  Digital Identity | Digital Payments | Data Sharing/Exchange | Connectivity Infrastructure | Cybersecurity | Data Protection/Privacy | Digital Skills/Literacy | Interoperability Standards | Digital Public Services | Other,"May differ from institutional focus. Check individual's project portfolio, publications, speeches, LinkedIn profile, articles written, research conducted. Select ALL areas where individual has demonstrated expertise/leadership. Separate with semicolon (;)."
DPI Experience,Previous_DPI_Role,IND_011,Previous relevant position in DPI ecosystem,Text,"Document most recent/relevant previous DPI role. Format: 'Job Title, Institution Name, YYYY-YYYY'. Example: 'Director of Payments, Central Bank, 2018-2022' or 'Senior Correspondent, Tech News Africa, 2015-2020'. Use LinkedIn, CVs, biographical profiles."
