Section,Variable Name,Variable Id,Definition,Format,Other Metadata,Data Collection Guidelines
System,Payment System Name,pay-system-dpaysysname,"Official name(s) of the country's primary digital payment system(s) or interoperability platform(s) in both local language and English where available. Includes formal real-time/instant payment systems, mobile money interoperability schemes, and national payment switches. If multiple systems exist (e.g., separate bank-led and mobile money systems), list all major systems.","Text (400 characters max); ""NA"" if unknown or not applicable","Include acronym if commonly used (e.g., ""NIBSS Instant Payment (NIP)""). Note if system is bank-only, mobile money-only, or interoperable.","Search: ""[Country] payment system name"", ""[Country] digital payment name"", central bank payment system documents, national switch operator websites. Cross-reference with BIS/World Bank SIIPS (Significantly Important Instant Payment Systems) Report and regional payment system listings. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
System,Payment System Type,pay-system-dpaysystype,"Classification of the digital payment system based on its architecture and participant ecosystem, distinguishing between bank-centric, mobile money-centric, or interoperable models that bridge multiple payment service provider types.","Text (400 characters max); ""NA"" if unknown or not applicable","Classification anchors: Bank-only IPS; Mobile Money-only IPS; Bank-MNO Interoperable; Universal Interoperable; Multiple Separate Systems. Bank-only: Only banks as participants. Mobile Money-only: Only mobile network operators. Bank-MNO: Banks and MNOs integrated. Universal: Banks, MNOs, fintechs, PSPs all eligible. Multiple: Distinct systems operating in parallel.","Search: ""[Country] payment system interoperability"", ""[Country] mobile money bank interoperability"", scheme rules documents, participant eligibility criteria. Check mobile money interoperability reports, central bank licensing frameworks. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
System,Technical Standards Compliance,pay-system-techstandards,"International or regional technical standards, protocols, and messaging formats adopted by the payment system for transaction processing, security, and interoperability (e.g., ISO 20022, ISO 8583, Mojaloop, EMV standards).","Text (400 characters max); ""NA"" if unknown or not applicable","Common standards: ISO 20022 (messaging), ISO 8583 (card transactions), EMV (chip cards), Mojaloop (open-source mobile money), GSMA Mobile Money API. Note if standards are partial or full implementation.","Search: ""[Country] payment system technical standards"", ""[Country] ISO 20022"", system operator technical documentation, scheme rules technical specifications, tender documents for payment system infrastructure. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
System,Interoperability Model,pay-system-interopmodel,"The architectural approach used to achieve interoperability between payment service providers, distinguishing between centralized hub/switch models, distributed peer-to-peer models, standards-based federation, or merchant aggregation approaches.","Text (400 characters max); ""NA"" if unknown or not applicable",Classification anchors: Centralized Hub/Switch; Peer-to-Peer; Standards-Based Federation; Hybrid; No Interoperability. Centralized: Single national switch/hub routes all transactions. Peer-to-Peer: Direct bilateral connections. Standards-Based: Common standards enable connectivity without central switch. Hybrid: Combination of approaches.,"Search: ""[Country] payment switch"", ""[Country] interoperability model"", ""[Country] national payment hub"", payment system architecture documents, GhIPSS model references, Mojaloop implementations. Check if central bank or third party operates switch. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
System,Supported Payment Channels,pay-system-paymentchannels,"All access channels through which end users can initiate and receive digital payments, including mobile applications, USSD codes, web platforms, point-of-sale terminals, QR codes, agent networks, and API integrations.","Text (400 characters max); ""NA"" if unknown or not applicable",Note if channel requires smartphone vs feature phone. Indicate 24/7 availability or restrictions per channel. Comment on accessibility for rural/offline environments.,"Search: ""[Country] payment channels"", ""[Country] USSD payments"", ""[Country] QR code payments"", user guides for payment systems, mobile banking app features, scheme participant documentation, fintech integrations. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
System,Payment Instruments Supported,pay-system-paymentinstruments,"Types of payment instruments and stored value accounts that can be linked to and used as source or destination for digital payments, including bank accounts, mobile wallets, prepaid cards, and other regulated payment accounts.","Text (400 characters max); ""NA"" if unknown or not applicable","Distinguish between bank-issued accounts, MNO wallets, independent payment service provider accounts. Note if instrument types can interoperate (e.g., bank to mobile wallet).","Search: ""[Country] mobile wallet bank transfer"", ""[Country] payment instruments"", scheme rules on account types, mobile money regulations, interoperability documentation, participant types allowed. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Governance,Governing Authority,pay-governance-paygovauthority,"The entity or entities responsible for regulatory oversight, rule-setting, licensing, and supervision of the payment system and its participants. Typically includes central bank, financial regulatory authority, telecommunications regulator, or dedicated payment system oversight body.","Text (400 characters max); ""NA"" if unknown or not applicable","Specify primary vs secondary oversight. Note if authority covers prudential regulation, conduct regulation, or both. Indicate if multiple authorities share jurisdiction (e.g., central bank + telecom regulator).","Search: ""[Country] payment system regulation"", ""[Country] central bank payment oversight"", legal framework for payment systems, payment system acts/laws, regulatory authority websites, licensing regimes for payment service providers. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Governance,Payment System Operator,pay-governance-payoperator,"The organization(s) responsible for operating the payment system infrastructure, managing day-to-day technical operations, participant onboarding, transaction routing, and system maintenance. May be central bank, private company, or public-private entity.","Text (400 characters max); ""NA"" if unknown or not applicable","Operator types: Central Bank, National Switch Company, Private Consortium, Public-Private Partnership, Individual MNOs. Note founding year if available. Indicate if different operators for different systems (bank vs mobile money).","Search: ""[Country] payment system operator"", ""[Country] national switch"", ""[Country] payment infrastructure company"", company registries, central bank subsidiaries, GhIPSS-type entities, NIBSS-type entities. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Governance,Ownership Model,pay-governance-payownership,"Ownership structure of the payment system infrastructure, indicating whether owned by central bank, commercial banks, mobile operators, government, private sector consortium, or combination. Reflects governance and incentive structures.","Text (400 characters max); ""NA"" if unknown or not applicable","Classification anchors: Central Bank-Owned; Bank Consortium; MNO Consortium; Government-Owned; Private Company; Public-Private Partnership; Mixed/Shared. Specify ownership percentages if available (e.g., ""Central Bank 60%, Banks 40%""). Note if ownership has evolved over time. Comment on implications for neutrality and competition.","Search: ""[Country] payment system ownership"", ""[Country] national switch shareholders"", company ownership records, central bank subsidiaries, payment system operator annual reports, governance documents. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
Inclusivity,Participant Eligibility Scope,pay-inclusivity-participanteligibility,"Types of financial service providers legally eligible to participate as direct participants (not just as agents) in the payment system, reflecting the breadth of the ecosystem. Includes banks, mobile network operators, fintechs, payment service providers, microfinance institutions, and non-bank entities.","Text (400 characters max); ""NA"" if unknown or not applicable","Note licensing requirements (e.g., ""Must hold PSP license""). Distinguish between direct participants (settle on own behalf) and indirect participants (through sponsor bank). Comment on barriers to entry (capital, technical, operational).","Search: ""[Country] payment system participant eligibility"", ""[Country] payment service provider licensing"", scheme rules on participation, central bank licensing categories, participant directories, mobile money regulations, fintech licensing frameworks. For UEMOA/CEMAC member states, also search regional central bank (BCEAO/BEAC) payment system documentation and regional interoperability initiatives."
