Section,Variable Name,Variable ID,Definition,Format,Data Collection Guidance
Basic Information,Institution_ID,INST_001,Unique identifier for the institution,Text,Auto-generated. Format: [ISO country code][3-digit sequence]. Start at 001 for each country.
Basic Information,Country,INST_002,Country where institution is based,Text,"Use ISO 3166-1 alpha-2 codes only (ZA, KE, NG, etc.). For pan-African institutions, use country of headquarters."
Basic Information,Institution_Name,INST_003,Official name of the institution,Text,"Search official websites, company registries, NGO databases. Example: 'Central Bank of Kenya (CBK)'. Use English name if multiple languages available."
Basic Information,Institution_Type,INST_004,Primary institutional category,Categorical: Government | Private Sector | Civil Society/NGO | Media | Academic/Research | International Organization | Hybrid/Multi-Sector,"Determine based on legal status, funding, governance. Government = state-owned/controlled; Private = commercial entity; Civil Society = non-profit advocacy/service; Media = journalism focus; Academic = research/teaching; International = multilateral/foreign; Hybrid = multiple types."
Basic Information,Institution_Subtype,INST_005,More specific institutional classification,Text,"Examples: Ministry, Regulatory Agency, Central Bank, State-Owned Enterprise, Bank, Telco, Fintech, Payment Provider, Advocacy NGO, Think Tank, News Outlet, University, UN Agency. Use consistent terminology."
DPI Mandate & Role,DPI_Mandate,INST_006,Whether institution has explicit DPI mandate in legislation/policy,Categorical: Yes | No | Unclear,"Search enabling laws, regulations, strategic plans for explicit mention of digital identity, digital payments, data exchange, or digital infrastructure responsibilities. Yes = clear mandate; No = no formal mandate; Unclear = ambiguous or emerging mandate."
DPI Mandate & Role,DPI_Role,INST_007,Primary functional roles in DPI ecosystem,Categorical : Policy Maker | Regulator | Implementer | System Integrator | Service Provider | Funding Source | Advocacy/Watchdog | Research/Advisory | Capacity Builder | User Representative | Technical Standards Setter | Unknown,"Review institutional functions, project portfolios, press releases, partnerships. Select ALL applicable roles. Separate with semicolon (;). Examples: 'Policy Maker;Regulator' or 'Service Provider;System Integrator'."
DPI Mandate & Role,DPI_Focus_Areas,INST_008,Specific DPI domains where institution is active,Categorical : Digital Identity | Digital Payments | Data Sharing/Exchange | Connectivity Infrastructure | Cybersecurity | Data Protection/Privacy | Digital Skills/Literacy | Interoperability Standards | Digital Public Services | Other,"Search reports, project descriptions, news articles about DPI work. Select ALL applicable areas. Separate with semicolon (;). Include 'Other' if significant work doesn't fit categories."
DPI Mandate & Role,Legal_Authority,INST_009,Type of legal authority held by institution,Categorical: Legislative Authority | Regulatory Authority | Policy Development Authority | Operational Authority | Advisory/Consultative | Commercial/Market-Based | None/Limited | Unclear,"Check enabling legislation, regulatory powers, licensing authority. Legislative = law-making power; Regulatory = rule-making/enforcement; Policy Development = strategy/guidance; Operational = implementation; Advisory = consultation only; Commercial = market participation; None/Limited = no formal authority."
Contact & Digital Presence,Website_URL,INST_010,Official institutional website,Text (URL),"Search Google for official website, verify authenticity. Use 'None' if no website exists, 'Unknown' if cannot be determined. Include protocol (https:// or http://)."
