Section,Variable Name,Variable Id,Definition,Format,Other Metadata,Data Collection Guidelines
System,Digital ID System Name,id-system-didname,"Official name of the digital identity system in both local language and English where available, including acronyms","Text (400 characters max); ""NA"" if unknown or not applicable","Record format: Local name [English translation] (ACRONYM). Include any alternative names used in legislation vs common usage. Note whether the name has changed over time and any predecessor system names. For the six case study countries: Benin (RAVIP/SNIPC), Côte d'Ivoire (RNPP/ONECI), Ethiopia (Fayda), Mozambique (e-BILHETE), Nigeria (NIN/NIMC), South Africa (Smart ID).","Sources: ID authority official websites, government portals, legislation documents. Record both local and English names. If unknown, use '[Country] Digital Identity System' format."
System,Public Interface,id-system-url,The url where members of the public can access the Digital Id system,"Text (400 characters max); ""NA"" if unknown or not applicable","Record the primary public-facing URL (portal or app landing page). If multiple URLs exist (e.g. separate enrollment portal, verification portal, mobile app store link), list all with brief labels. Note whether the URL is functional, intermittent, or defunct at time of research.","Sources: ID authority official websites, Google Play/Apple App Store listings, government service portals. Test each URL for accessibility. If no public-facing URL exists, explain what access channels are available (e.g. in-person only, USSD)."
System,Primary Credential Name,id-system-credname,"Official name of the primary ID credential issued for adults (e.g., national ID card, digital identity card)","Text (400 characters max); ""NA"" if unknown or not applicable",Record format: Local name [English translation] (ACRONYM). Distinguish between the credential name and the system name if different. Note whether multiple credential types exist (e.g. physical card vs digital credential) and which is considered primary. Include the year the current credential was introduced.,"Sources: ID authority websites, credential samples, legislative documents. Distinguish between physical and digital credentials if both exist."
System,Legacy Systems,id-system-legacy,"What identity systems were in use, digital or otherwise, prior to the development of the current system? Is a legacy system still in use? How was/is the transition managed?","Text (400 characters max); ""NA"" if unknown or not applicable","Describe: (1) name and type of each predecessor system (paper-based, digital, hybrid); (2) approximate years of operation; (3) whether still in parallel use; (4) transition strategy (big bang, phased, voluntary migration); (5) data migration approach (automated, manual re-enrollment, no migration). Note any populations still reliant on legacy credentials.","Sources: Government policy documents, ID authority historical pages, World Bank project appraisals, ID4Africa presentations. Check for transition timelines, parallel running periods, and populations that may still hold only legacy credentials."
System,Authentication Method(s),id-system-authmethod,"The specific technology or approach used for identity verification including biometric (fingerprint, facial recognition, iris), PIN, multi-factor authentication, PKI, or mobile-based methods","Text (400 characters max); ""NA"" if unknown or not applicable","Categories to cover: Fingerprint, Facial recognition, Iris scan, PIN/password, Multi-factor authentication (MFA), PKI/digital certificate, Mobile OTP, USSD, QR code, NFC. List all methods in use, distinguishing between: (a) enrollment authentication; (b) credential issuance authentication; (c) service-access authentication. Note whether methods differ for in-person vs remote use.","Sources: Technical specifications from ID authority, implementation documentation, DPI Map, biometricupdate.com. Check for explicit mentions of authentication methods in system documentation or service descriptions."
System,Technology Platform,id-system-techplatform,"The underlying technology platform or architecture used (e.g., MOSIP, custom-built, commercial vendor solution)","Text (400 characters max); ""NA"" if unknown or not applicable","Record: platform name, vendor/developer, whether open-source or proprietary, version if known. Common platforms in Africa: MOSIP, Thales/Gemalto, IDEMIA, TECH5, HID Global, custom-built. Note any platform migrations (e.g. from proprietary to MOSIP). Include hosting arrangement (on-premise, cloud, hybrid) if known.","Sources: Technical documentation, procurement records, press releases, biometricupdate.com, World Bank project documentation. Note whether open-source or proprietary."
System,Credential Type,id-system-credtype,"Format and type of credential issued including physical cards, mobile credentials, digital wallets, or verifiable credentials","Text (400 characters max); ""NA"" if unknown or not applicable","Categories: Physical card (specify: polycarbonate/PVC/paper; with/without chip; contact/contactless), Mobile app, Digital wallet, Verifiable credential, Paper document, e-ID on SIM. For physical cards note: chip type (contact, contactless, dual-interface), security features (hologram, laser engraving, UV printing). Note if multiple credential formats coexist and which is primary.","Sources: ID authority websites, credential samples, mobile app stores. Note material for physical cards (polycarbonate, PVC, paper) and chip presence. Check for digital/mobile options."
Ownership,System Ownership,id-ownership-system,"Who owns the technology used by the system, including production of credentials? Distinguish between legal ownership, technology IP ownership, and credential production.","Text (400 characters max); ""NA"" if unknown or not applicable","Distinguish between: (1) legal/institutional owner (which government entity); (2) technology owner (who built/owns the software IP); (3) production owner (who manufactures credentials — government printing works, contracted vendor, or outsourced). Note any PPP or concession arrangements. Name specific companies/entities involved.","Sources: Procurement contracts, PPP agreements, ID authority annual reports, government gazette notices. Check for technology transfer clauses, IP ownership terms, and credential production contracts."
Ownership,Platform,id-ownership-platform,"Who owns and controls the platform that hosts the identity system? Include hosting infrastructure, software control, and data residency details.","Text (400 characters max); ""NA"" if unknown or not applicable","Clarify: (1) who owns the hosting infrastructure (government data centre, private cloud provider, international cloud); (2) who controls the platform software (government IT, vendor, open-source community); (3) data residency (where is data physically stored). Note any data sovereignty concerns or requirements.","Sources: Technology contracts, cloud hosting agreements, data protection impact assessments, data localisation legislation. Check whether platform hosting complies with any national data residency requirements."
Governance,Governing Authority,id-governance-govauthority,"The government ministry, agency, or department responsible for managing and operating the digital identity system","Text (400 characters max); ""NA"" if unknown or not applicable",Record format: Authority name — institutional home (ministry/department). Note: (1) whether authority is autonomous or embedded; (2) legal basis for its mandate (legislation name and year); (3) whether it has a governing board; (4) reporting line (e.g. reports to Minister of Interior). Example: National Identification Authority (NIA) — Ministry of Interior.,"Sources: Legislation, government organizational charts, ID authority websites. Note institutional home (ministry/department) and whether authority is independent or embedded."
