Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,2, Yes,2023,Digital ID portal (did.ecitizen.go.ke) provides facial and fingerprint biometric authentication. Maisha Card has encrypted microprocessor chip for electronic verification with QR code. e-Maisha digital platform enables biometric/PIN/OTP authentication for online transactions. National Public Key Infrastructure (NPKI) supports secure digital identity. eCitizen uses two-factor authentication.,id-functionality-authdigital,36,https://did.ecitizen.go.ke | https://hudumaglobal.com/blog/maisha-namba-kenya-digital-identity-system-national-id-passports | https://www.amnestykenya.org/wp-content/uploads/2024/01/Digital-ID-in-Kenya-FINAL-POLICY-PAPER_Print.pdf,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government Portal Authentication,Whether authentication is possible through a centralized government portal or digital gateway,2, Yes,2023,"eCitizen platform (accounts.ecitizen.go.ke) is the unified government portal with 16,000+ services accessible via national ID. 13+ million registered users as of mid-2024. Biometric health identification (BHI) deployed at all Level 4-6 public hospitals. eCitizen generates KES 700 million/day in government collections. Gava Mkononi mobile app extends access.",id-functionality-authgovtportal,37,https://accounts.ecitizen.go.ke | https://citizenshiprightsafrica.org/kenya-digital-identity-id-roll-out-on-course-ps/ | https://www.health.go.ke/ministry-health-launches-biometric-health-identification-advances-digital-health-transformation,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,1, No,2023,"Data Protection Act 2019 grants data subjects rights to access their data and information about processing. eCitizen platform displays some profile information. However, no right to access processing activity logs exists. Temple iLIT (2025) notes no mechanism for accessing full processing records. Correction mechanism for Maisha Namba is unclear. DPIA was not shared publicly.",id-functionality-dataview,42,https://law.temple.edu/ilit/a-model-governance-framework-analysis-of-kenyas-maisha-namba/ | https://digitalid.design/evaluation-framework-case-studies/welfare.html | https://www.dlapiperdataprotection.com/index.html?t=law&c=KE,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",2, Yes,2023,"IPRS connected to all financial institutions and telecoms for real-time identity verification. Maisha Namba enables KYC/AML compliance for banks and fintechs. National ID mandatory to open bank accounts, access M-Pesa, obtain credit. Youverify and other providers offer Maisha Namba-based KYC APIs. 84% of adults use mobile money requiring ID-based KYC.",id-functionality-kycenable,38,https://youverify.co/blog/the-new-kenyan-id-card-maisha-namba-explained | https://law.temple.edu/ilit/a-model-governance-framework-analysis-of-kenyas-maisha-namba/ | https://www.humanrightsresearch.org/post/why-do-ids-and-birth-certificates-matter-a-case-study-of-kenya,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,2," Yes, but not specific to ID",2020,"Courts have actively exercised oversight: High Court halted NIIMS in 2020 pending data protection framework; annulled Huduma Card rollout in 2021 requiring DPIA; issued temporary injunctions on Maisha Namba in 2024. Multiple constitutional petitions active (NRF case, Katiba Institute, Haki na Sheria Initiative). However, no accessible administrative review mechanism; only costly constitutional challenges available.",id-governance-courtoversight,22,https://catalystsforcollaboration.org/case-study-kenyas-biometric-id-system/ | https://www.article19.org/resources/consortium-calls-for-reforms-implementation-of-kenyas-digital-id/ | https://law.temple.edu/ilit/a-model-governance-framework-analysis-of-kenyas-maisha-namba/,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,3, Full integration,2023,"Direct integration between civil registration and digital ID: Maisha Namba assigned at birth registration, serving as the birth certificate number for newborns. Civil Registration Services (CRS) feeds directly into IPRS. Maisha Namba becomes the national ID at age 18 and death certificate number upon death - full lifecycle integration.",id-governance-crvs,21,https://www.kictanet.or.ke/understanding-maisha-namba-kenyas-new-digital-identity-system/ | https://ishr.org/kenya-kenyas-maisha-namba-project/ | https://youverify.co/blog/the-new-kenyan-id-card-maisha-namba-explained,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",1, Not available,2023,"Data Protection Act 2019 provides general framework for data sharing. IPRS connected to MDAs, banks, and telecoms for identity verification. However, the data-sharing architecture and rules specific to Maisha Namba are not publicly disclosed. Temple iLIT (2025) notes data sharing framework is not transparent. No comprehensive published data sharing policy for digital ID.",id-governance-datasharingrules,23,https://law.temple.edu/ilit/a-model-governance-framework-analysis-of-kenyas-maisha-namba/ | https://www.amnestykenya.org/wp-content/uploads/2024/01/Digital-ID-in-Kenya-FINAL-POLICY-PAPER_Print.pdf | https://streamlinefeed.co.ke/news/kenyas-digital-id-maisha-namba-rollout-and-public-concerns,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,1, No,2023,"NIIMS Regulations 2020 and Registration of Persons (Amendment) Regulations 2023 are specific to the digital ID system. However, no standalone comprehensive Digital ID Act has been enacted. The Huduma Bill 2019 was never passed. Maisha Namba relies on secondary legislation under broader registration laws.",id-governance-digidreg,17,https://ict.go.ke/sites/default/files/2024-09/The%20Registration%20of%20Persons%20(National%20Integrated%20Identity%20Management%20System)%20Regulations%202020.pdf | https://www.kictanet.or.ke/haki-na-sheria-initiative-challenges-maisha-namba-in-court/ | https://law.temple.edu/ilit/a-model-governance-framework-analysis-of-kenyas-maisha-namba/,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,2, Yes,2019,Data Protection Act No. 24 of 2019 came into force November 2019. Comprehensive legislation modelled on GDPR. Establishes Office of Data Protection Commissioner (ODPC). Data Protection (General) Regulations 2021 operationalise the Act. Note: national security exception exempts some ID data processing from full DPA coverage.,id-governance-dpaexists,18,https://www.dlapiperdataprotection.com/index.html?t=law&c=KE | https://paradigmhq.org/report/londa-digital-rights-and-inclusion-in-kenya/ | https://www.jurist.org/commentary/2023/07/kenya-id/,3,OK,,,,,,,,,
KEN,Kenya,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,2, Yes,2020,"Office of Data Protection Commissioner (ODPC) established under DPA 2019; Commissioner appointed November 2020. Mandated to oversee compliance, maintain register of data controllers/processors, investigate complaints, conduct inspections. Government conducted 10+ DPIAs for digital ID with ODPC support. However, national security exception limits DPA coverage of Maisha Namba data.",id-governance-dpaoversight,19,https://www.dlapiperdataprotection.com/index.html?t=law&c=KE | https://paradigmhq.org/report/londa-digital-rights-and-inclusion-in-kenya/ | https://citizenshiprightsafrica.org/kenya-digital-identity-id-roll-out-on-course-ps/,3,OK,,,,,,,,,
