"Country","Country Name","Chapter","Chapter Details","Section","Variable Name","Definition","Value Code","Value Name","Year","Comments","Variable Id","Variable Sort","Source urls","n_sources","redteam_priority","redteam_flags","redteam_note","revised_value_code","revised_source_urls","revision_notes","revised_year","revised_year_confidence","revised_comments","status"
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Address","Business uptake","What proportion of business properties does the register cover?","0","Unknown or n.a.","","No credible evidence found after searching for quantitative coverage of business properties within GhanaPostGPS or an official address register dataset (no official statistics located).","reg-address-business","21","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","Fast path: one Exa search on GhanaPostGPS business/commercial address coverage returned only general system descriptions and household-focused statistics; no source quantifies business or commercial property coverage. Confirms Unknown.","","low","No authoritative source quantifies the proportion of business or commercial properties covered by Ghana's digital address register (GhanaPostGPS); available coverage data relates to households rather than businesses.","unknown_lightcheck"
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Address","Data exchange integration","Is the register integrated with the government's national data exchange system?","0","Unknown or n.a.","","No credible evidence found after searching for GhanaPostGPS integration with a national data exchange/interoperability platform.","reg-address-dpi","24","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","Fast path: one Exa search found Ghana's eGovernment Interoperability Framework (eGIF), which conceptually treats addresses as a base registry, but no evidence that GhanaPostGPS is technically linked to a live national data exchange platform. Confirms Unknown.","","low","No authoritative source confirms that Ghana's digital address register (GhanaPostGPS) is technically connected to a national government data exchange or interoperability platform; Ghana's eGovernment Interoperability Framework treats address data as a base registry only in conceptual terms.","unknown_lightcheck"
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Address","Household uptake","What proportion of private properties does the register cover?","0","Unknown or n.a.","","No credible evidence found after searching for quantitative household/residential property coverage of GhanaPostGPS in official sources (coverage claims exist but no authoritative percentage found).","reg-address-house","22","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","https://doi.org/10.1016/j.ugj.2023.02.005; https://www.ghanaweb.com/GhanaHomePage/business/740-810-addresses-registered-with-GhanaPostGPS-digital-property-addressing-system-624220; https://doi.org/10.9734/ajrcos/2024/v17i4430","Full path: evidence is conflicting. GhanaWeb (2018) reported 740,810 of an estimated 4.5m homes with a digital address (~16%); a 2023 peer-reviewed study (Mensah et al., citing Ansah & Longdon 2021) cites approximately 7.5m of over 10m properties nationally having been assigned a digital address (~75%), but this figure is not disaggregated between household and business/commercial properties and is now several years old; a 2024 evaluation study found very low active usage (9% of surveyed users had used the GhanaPostGPS app in the past month), suggesting addresses exist but are not consistently used or verified. Given the conflicting figures and the inability to isolate the household-only share, this is marked for human review rather than assigning a specific band.","2021","low","Estimates of household coverage under Ghana's digital address register (GhanaPostGPS) vary widely across sources, ranging from around 16% of homes with a created digital address in 2018 to a later citation of roughly 75% of all properties nationally having been assigned an address, though this more recent figure is not broken down by property type and usage studies suggest many assigned addresses are not actively used or verified.","human_review"
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Address","Land register integration","Is the register integrated with the land register?","0","Unknown or n.a.","","No credible evidence found after searching for explicit integration between GhanaPostGPS (address register) and Lands Commission land registry systems in authoritative sources.","reg-address-land","23","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","Fast path: one Exa search on GhanaPostGPS/Lands Commission integration found only general Lands Commission digitisation material (ELIS) with no mention of address register linkage specifically. Confirms Unknown.","","low","No authoritative source confirms technical integration between Ghana's digital address register (GhanaPostGPS) and the land register maintained by the Lands Commission.","unknown_lightcheck"
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Business","Data exchange integration","Is the register integrated with the government's national data exchange system?","0","Unknown or n.a.","","No credible evidence found after searching for business register integration with a national data exchange/interoperability platform.","reg-business-dpi","29","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","3","http://www.graphic.com.gh/news/general-news/ghana-news-registrar-general-introduces-software-to-enhance-business-2.html; https://www.opengovpartnership.org/members/ghana/commitments/gh0036/","Full path: original Unknown/no-source score reviewed. A 2022 Graphic Online report quotes the Registrar of Companies confirming a World Bank-funded new business registry system, under procurement, designed to provide a standard API for electronic data exchange with other systems (e.g. banks). An OGP/IRM commitment report (Ghana Results Report 2021-2023) confirms the Office of the Registrar of Companies already cross-checks beneficial ownership data against the Ghana Revenue Authority and National Identification Authority for verification, though the wider central register has faced ongoing technical challenges (reported inaccessible as of spring 2024). Overall status recalculated as Under development (3), reflecting partial, narrow cross-checking already live and a broader interoperable system still being built.","2024","medium","Ghana's business register (managed by the Office of the Registrar of Companies) already cross-checks beneficial ownership data against the Ghana Revenue Authority and National Identification Authority for verification purposes, and a World Bank-funded new registry system with a standard API for electronic data exchange is under procurement and development, though the wider interoperable platform has faced technical delays and is not yet fully operational.",""
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Business","Land register integration","Is the register integrated with the land register?","0","Unknown or n.a.","","No credible evidence found after searching for explicit integration between the business register and the land registry (e.g., sharing property ownership/charges via an interoperability layer).","reg-business-land","28","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","Fast path: one Exa search on business register/land register integration found only general Lands Commission and ORC modernisation material with no mention of a technical linkage between the two registers. Confirms Unknown.","","low","No authoritative source confirms technical integration between Ghana's business register (Office of the Registrar of Companies) and the land register maintained by the Lands Commission.","unknown_lightcheck"
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Business","Uptake","What proportion of businesses does the register cover?","0","Unknown or n.a.","","No credible evidence found after searching for the proportion of businesses covered by the business register (formal vs informal) in authoritative statistics; only transaction counts were found, not coverage estimates.","reg-business-uptake","26","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","1","https://www.myjoyonline.com/92-3-of-businesses-in-ghana-remain-informal-gss/; https://norvanreports.com/only-7-7-of-businesses-in-ghana-classified-as-formal-report-reveals/","Full path: original Unknown/no-source score reviewed. The Ghana Statistical Service's 2024 Integrated Business Establishment Survey (IBES), reported by MyJoyOnline and Norvanreports and presented publicly by the Government Statistician, found that 92.3% of business establishments in Ghana operate informally (unregistered, no formal accounts), leaving only 7.7% formal. This directly answers the proportion of businesses covered by the formal business register. Recalculated to <20% (code 1).","2024","high","Ghana's 2024 Integrated Business Establishment Survey (Ghana Statistical Service) found that only 7.7% of business establishments nationally are formally registered, with 92.3% operating in the informal, unregistered sector.",""
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Civil","Data exchange integration","Is the register integrated with the government's national data exchange system?","0","Unknown or n.a.","","No credible evidence found after searching for Ghana CRVS interoperability via a national data exchange layer/service bus; official sources reviewed did not mention integration with a national data exchange platform.","reg-cr-dpi","13","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","Fast path: one Exa search found that Ghana's Births and Deaths Registry (BDR) has REST API capability (per third-party OpenFn adaptor documentation) and that a general eGovernment Interoperability Framework exists, but no authoritative source confirms the civil register is actually connected to a national government data exchange platform. Confirms Unknown.","","low","No authoritative source confirms that Ghana's civil registration system (Births and Deaths Registry) is technically connected to a national government data exchange or interoperability platform, although the registry has demonstrated API capability.","unknown_lightcheck"
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Electoral","Data exchange integration","Is the register integrated with the government's national data exchange system?","0","Unknown or n.a.","","No credible evidence found after searching for Electoral Commission voter register integration with a national data exchange/interoperability platform; electoral data is typically siloed and no authoritative statement found.","reg-elect-dpi","33","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","1","https://www.graphic.com.gh/news/politics/nia-must-integrate-database-with-ec-stakeholders.html; https://www.graphic.com.gh/news/politics/why-is-ndc-proposing-data-synchronization-with-nia-after-rigging-accusation.html","Full path: original Unknown/no-source score reviewed. Graphic Online reporting confirms that as of 2020-2021 the Electoral Commission (EC) explicitly stated it was not synchronising or integrating its voter database with the National Identification Authority (NIA), relying only on the physical Ghana Card as proof of citizenship at registration (per CI 126). A 2021 post-election stakeholders' workshop recommended that the EC and NIA integrate their databases, indicating this had not yet occurred. No subsequent evidence of technical integration was found. Recalculated to No (code 1).","2021","medium","Ghana's electoral register is not technically integrated with the government's data exchange system or with the National Identification Authority's database; the Electoral Commission uses the physical Ghana Card only as proof of citizenship at registration, and calls from election stakeholders for deeper database integration had not been implemented as of the most recent evidence available.",""
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Land","Address register integration","Is the register integrated with the address register?","0","Unknown or n.a.","","No credible evidence found after searching for explicit integration between Lands Commission land registry systems (e.g., GELIS/ELIS) and the national digital address register (GhanaPostGPS) in authoritative documents.","reg-land-address","17","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","Fast path: one Exa search on Lands Commission/address register integration found Lands Commission digital transformation material (ELIS) listing integrations with Ghana.Gov, eGCR, NIA, Collateral Registry and Permitting, but the address register (GhanaPostGPS) is not named among these. Confirms Unknown.","","low","No authoritative source confirms technical integration between Ghana's land register (Lands Commission) and the digital address register (GhanaPostGPS); the Lands Commission's own account of its system integrations does not list the address register.","unknown_lightcheck"
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Land","Business register integration","Is the register integrated with the business register?","0","Unknown or n.a.","","No credible evidence found after searching for explicit integration between the land registry (Lands Commission) and the business register/Office of the Registrar of Companies (ORC).","reg-land-business","18","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","Fast path: one Exa search on Lands Commission/business register integration found the same Lands Commission ELIS integration list (Ghana.Gov, eGCR, NIA, Collateral Registry, Permitting), which does not name the business register/Office of the Registrar of Companies. Confirms Unknown.","","low","No authoritative source confirms technical integration between Ghana's land register (Lands Commission) and the business register (Office of the Registrar of Companies); the Lands Commission's own account of its system integrations does not list the business register.","unknown_lightcheck"
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Land","Data exchange integration","Is the register integrated with the government's national data exchange system?","0","Unknown or n.a.","","No credible evidence found after searching for Ghana land registry integration with a national data exchange/interoperability platform (service bus/X-Road equivalent).","reg-land-dpi","19","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","4","https://www.eis.africa/wp-content/uploads/2025/12/THE-DIGITAL-TRANSFORMATION-OF-GHANA_S-LANDS-COMMISSION-BENJAMIN-QUAYE.pdf","Full path: original Unknown/no-source score reviewed. A November 2025 Lands Commission presentation (Dr Benjamin Quaye, Head of Special Projects, Lands Commission, at AfricaGIS 2025/UN-GGIM Africa) describes the Enterprise Land Information System (ELIS) as already integrated with Ghana.Gov, the electronic Certificate of Registration (eGCR), the National Identification Authority, the Collateral Registry and the Permitting system, with national roll-out still in progress. This is a named-author conference presentation rather than a formal government publication, so confidence is medium. Recalculated to Partially integrated (code 4).","2025","medium","Ghana's land register, through the Lands Commission's Enterprise Land Information System (ELIS), is already integrated with several other government systems including Ghana.Gov, the electronic Certificate of Registration, the National Identification Authority, the Collateral Registry and the Permitting system, with national roll-out of the platform continuing.",""
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Land","Uptake","What proportion of land ownership does the register cover?","0","Unknown or n.a.","","No credible evidence found after searching for Ghana land titling/registration coverage percentages (e.g., % of parcels titled/registered nationwide) in authoritative sources.","reg-land-uptake","16","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","1","https://www.graphic.com.gh/news/general-news/ghana-news-98-of-lands-cant-be-registered-owners-at-risk-in-disputes.html; https://copenhagenconsensus.com/publication/ghana-priorities-land-titles","Full path: original Unknown/no-source score reviewed. A Court of Appeal judge, reported by Graphic Online in January 2026, stated that over 98% of Ghana's land falls outside the formal land title registration regime, with only Greater Accra, parts of Kumasi and Kasoa declared as registration districts; the remainder relies on unguaranteed deed registration. Separately, Copenhagen Consensus Center analysis notes around 80% of land is held under customary tenure and is largely undocumented and unregistered. Both sources concur that formal land registration coverage is very low. Recalculated to <20% (code 1).","2026","high","Formal land title registration coverage in Ghana is very low: over 98% of the country's land falls outside declared land title registration districts (limited to Greater Accra and parts of Kumasi and Kasoa), and around 80% of land is held under customary tenure that remains largely undocumented and unregistered.",""
"GHA","Ghana","Registries","Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.","Population","Data exchange integration","Is the register integrated with the government's national data exchange system?","0","Unknown or n.a.","","No credible evidence found after searching for Ghana 'data exchange platform', 'government service bus', and whether the National Identity Register integrates via a national data exchange/interoperability platform (no authoritative, specific documentation located).","reg-pop-dpi","6","","0","Low","unknown_no_source;no_year","Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.","","","4","https://nia.gov.gh/service/verification-services/; https://nia.gov.gh/partner/","Full path: original Unknown/no-source score reviewed. The National Identification Authority's own website confirms an operational Identity Verification System through which institutions are onboarded (via a technical setup and contract) to access population register data for identity verification and 'data harmonisation and integration'; Legislative Instrument 2111 mandates Ghana Card verification across a wide range of transactions (passports, driving licences, banking, insurance, land transactions, pensions, NHIS, voter registration, tax, SIM registration, education, and more). This constitutes real technical integration with numerous sectoral systems, though not via a single unified national data exchange platform. Recalculated to Partially integrated (code 4).","2023","medium","Ghana's population register (the National Identity Register, managed by the National Identification Authority) is technically linked to numerous government and private-sector systems through an operational Identity Verification System, which institutions can join after completing a technical onboarding process; regulation mandates use of the Ghana Card for identity verification across banking, insurance, land transactions, pensions, health insurance, voter registration, tax and SIM registration, among other services.",""
